dataset,method,plan_ready,auto_channel_plan_ready,relation_count_source,training_executed,success,success_count,test_micro_f1,test_macro_f1,failure_type,failure_message,used_test_data,source_gate,protocol,test_micro_f1_mean,test_macro_f1_mean,schema_compatible,keeps_all_target_nodes,official_hgb_exported,official_sehgnn_unmodified,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,uses_patched_loader,uses_patched_model,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligible_for_decision,uses_test_labels_for_selection,uses_test_metrics_for_selection,selection_signal_source,validation_probe_seed,selection_config_hash,selection_input_hash,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,official_text_hgb_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio,preprocessed_cache_byte_ratio,failure_reason,graph_seed,training_seed,method_family,protocol_family,target_preserving,uses_adapter_loader,diagnostic_only,recovery_micro_f1,validation_probe_source
DBLP,full-native,True,False,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,not_executed_local_gate21_7_quick,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
DBLP,export-full,True,False,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,not_executed_local_gate21_7_quick,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
DBLP,H6-node30,True,False,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,diagnostic_plan_only,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
DBLP,random-edge,True,False,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,diagnostic_plan_only,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
DBLP,HeSF-RCS-auto-coverage-structural30,True,True,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,diagnostic_plan_only,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
DBLP,HeSF-RCS-auto-probe-structural30,True,True,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,diagnostic_plan_only,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
DBLP,HeSF-RCS-auto-coverage-structural20,True,True,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,diagnostic_plan_only,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
DBLP,HeSF-RCS-auto-probe-structural20,True,True,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,diagnostic_plan_only,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
DBLP,best-external-TP,True,False,external\SeHGNN\data\DBLP\link.dat,False,False,0,NaN,NaN,diagnostic_plan_only,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
ACM,full-native,True,False,external\SeHGNN\data\ACM\link.dat,False,False,0,NaN,NaN,not_executed_local_gate21_7_quick,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
ACM,export-full,True,False,external\SeHGNN\data\ACM\link.dat,False,False,0,NaN,NaN,not_executed_local_gate21_7_quick,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
ACM,H6-node30,True,False,external\SeHGNN\data\ACM\link.dat,False,False,0,NaN,NaN,not_executed_local_gate21_7_quick,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
ACM,random-edge,True,False,external\SeHGNN\data\ACM\link.dat,False,False,0,NaN,NaN,not_executed_local_gate21_7_quick,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
ACM,HeSF-RCS-auto-coverage-structural30,True,True,external\SeHGNN\data\ACM\link.dat,False,False,0,NaN,NaN,not_executed_local_gate21_7_quick,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
ACM,HeSF-RCS-auto-probe-structural30,True,True,external\SeHGNN\data\ACM\link.dat,False,False,0,NaN,NaN,not_executed_local_gate21_7_quick,Cross-dataset task training is not claimed without a local official SeHGNN run.,False,gate21_7,cross_dataset_auto_channel,,,True,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,not_applicable,,,,,,,,,,,,,Cross-dataset task training is not claimed without a local official SeHGNN run.,,,cross_dataset,official_unmodified_schema_preserving,True,False,True,,
