dataset,method,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,export_fidelity_pass,failure_type,failure_reason
DBLP,Full-native-SeHGNN,True,True,True,True,True,True,True,,
DBLP,Export-full-SeHGNN,True,True,True,True,True,True,True,,
ACM,Full-native-SeHGNN,True,True,True,True,True,True,True,,
ACM,Export-full-SeHGNN,True,True,True,True,True,True,True,,
IMDB,Full-native-SeHGNN,True,True,True,True,True,True,True,,
IMDB,Export-full-SeHGNN,True,True,True,True,True,True,True,,
DBLP,H6-node30,True,True,True,True,True,True,True,,
DBLP,flatten-node30,True,True,True,True,True,True,True,,
DBLP,TypedHash-node30,True,True,True,True,True,True,True,,
ACM,H6-node30,True,True,True,True,False,True,True,failed_runtime,"Traceback (most recent call last):
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 588, in <module>
    main(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 22, in main
    g, adjs, init_labels, num_classes, dl, trainval_nid, test_nid = load_dataset(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\utils.py"", line 383, in load_dataset
    assert torch.all(row == PK.storage.row()) and torch.all(col == PK.storage.col())
RuntimeError: The size of tensor a (255619) must match the size of tensor b (213104) at non-singleton dimension 0"
ACM,flatten-node30,True,True,False,True,False,True,False,missing_task_metric,flatten-node30 has no official SeHGNN task metric for ACM.
ACM,TypedHash-node30,True,True,False,True,False,True,False,missing_task_metric,TypedHash-node30 has no official SeHGNN task metric for ACM.
IMDB,H6-node30,True,True,True,True,True,True,True,,
IMDB,flatten-node30,True,True,False,True,False,True,False,missing_task_metric,flatten-node30 has no official SeHGNN task metric for IMDB.
IMDB,TypedHash-node30,True,True,False,True,False,True,False,missing_task_metric,TypedHash-node30 has no official SeHGNN task metric for IMDB.
DBLP,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
DBLP,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Random-edge-relwise,True,True,False,True,False,True,False,not_executed,"Random-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.16 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Degree-edge-relwise,True,True,False,True,False,True,False,not_executed,"Degree-edge-relwise at structural budget 0.12 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
ACM,Proportional-relation-budget,True,True,False,True,False,True,False,not_executed,"Proportional-relation-budget at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally."
