dataset,method,budget_type,requested_budget,success_count,budget_match_rate,budget_fairness_pass,failure_reason
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Coarsening-HG-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Coarsening-HG-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Coarsening-HG-TP,support_node_ratio,0.500,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-selection,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-selection,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-selection,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-selection,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-selection,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-selection,support_node_ratio,0.500,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-synthetic-support,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-synthetic-support,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-synthetic-support,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-synthetic-support,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-synthetic-support,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,FreeHGC-TP-synthetic-support,support_node_ratio,0.500,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,GraphSparsify-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,GraphSparsify-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,GraphSparsify-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,GraphSparsify-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,GraphSparsify-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,GraphSparsify-TP,support_node_ratio,0.500,1,0.0,False,insufficient 5x5 ready budget-matched task results
DBLP,Herding-HG-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Herding-HG-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Herding-HG-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Herding-HG-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Herding-HG-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Herding-HG-TP,support_node_ratio,0.500,1,0.0,False,insufficient 5x5 ready budget-matched task results
DBLP,KCenter-HG-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,KCenter-HG-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,KCenter-HG-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,KCenter-HG-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,KCenter-HG-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,KCenter-HG-TP,support_node_ratio,0.500,1,0.0,False,insufficient 5x5 ready budget-matched task results
DBLP,Random-HG-TP,structural_storage_ratio,0.120,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Random-HG-TP,structural_storage_ratio,0.160,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Random-HG-TP,structural_storage_ratio,0.200,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Random-HG-TP,structural_storage_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Random-HG-TP,support_node_ratio,0.300,0,NaN,False,insufficient 5x5 ready budget-matched task results
DBLP,Random-HG-TP,support_node_ratio,0.500,1,0.0,False,insufficient 5x5 ready budget-matched task results
