dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url
DBLP,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,
DBLP,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,
ACM,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,
ACM,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,
IMDB,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,
IMDB,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,,1.0,1.0,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,
DBLP,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.7765286382078632,0.3,0.8166434302029504,0.7765286382078632,1,5,0.9470422,0.0029595227588244733,0.9433028,0.003234023710488219,0.9465022,0.9436454,,0.9933519323843204,0.9931380953941402,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\compressed\gate21_0_compressed_metrics.csv,
ACM,H6-node30,internal_historical_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,True,True,True,True,False,True,False,export_repaired_pending_official_training,"ACM conservative consistency preflight passes; prior PK size mismatch is no longer the terminal failure, official retraining remains pending.",,,local:acm_consistency_export,
IMDB,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.8926449630767522,0.3,0.9993074952101753,0.8926449630767522,1,5,0.6570166000000001,0.003959152919501895,0.634685,0.004949489549438394,0.6481066,0.6268784000000001,,0.9413811622293182,0.9455935737445905,True,True,True,True,True,True,True,,,,,D:\HeSF-Coarsen\outputs\gate21_14_cross_h6_training\compressed\gate21_0_compressed_metrics.csv,
DBLP,HeSF-RCS-auto structural50,schema_preserving_rcs,structural_storage_ratio,0.5,0.15916430179078186,0.30003171582619725,0.131946937378426,0.5312848976907086,1,5,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,,,0.937695148,0.9962325245858523,,True,True,True,True,True,True,True,,,bea49e9a3e68d44baafd75257133b6024ee628509587c8c9a9be189930c837a8,1277b32f74f4f4cc2452627faca0d7628c67faf0db4d51ebd0880ae9b44c0036,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,
DBLP,HeSF-RCS-auto structural30,schema_preserving_rcs,structural_storage_ratio,0.3,0.15916430179078186,0.30003171582619725,0.131946937378426,0.5312848976907086,1,5,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,,,0.937695148,0.9962325245858523,,True,True,True,True,True,True,True,,,bea49e9a3e68d44baafd75257133b6024ee628509587c8c9a9be189930c837a8,4a704b138d4d134cc142bcfebfb23abd61f86d64f8894590a2db7da04263ff91,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,
DBLP,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,0.15916430179078186,0.30003171582619725,0.131946937378426,0.5312848976907086,1,5,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,,,0.937695148,0.9962325245858523,,True,True,True,True,True,True,True,,,bea49e9a3e68d44baafd75257133b6024ee628509587c8c9a9be189930c837a8,a50d9876706afcf510325c453596941e5ee7726cecc060d7ffc110b1fa8cb151,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,
DBLP,HeSF-RCS-auto structural16,schema_preserving_rcs,structural_storage_ratio,0.16,0.15916430179078186,0.30003171582619725,0.131946937378426,0.5312848976907086,1,5,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,,,0.937695148,0.9962325245858523,,True,True,True,True,True,True,True,,,bea49e9a3e68d44baafd75257133b6024ee628509587c8c9a9be189930c837a8,23e285fede80cb0af48e105d629b50806ad6773502857f9444fbabd39ffcd3d7,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,
DBLP,HeSF-RCS-auto structural12,schema_preserving_rcs,structural_storage_ratio,0.12,0.11951718894668302,0.30003171582619725,0.08797575615905429,0.5300203883188904,1,5,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,,,0.953770196,0.9909888540742896,,True,True,True,True,True,True,True,,,240529d8a23de77b2e84e2982b97536b1afd41eb1648bc112ccbca988d736476,e1573e8488ad75bf47007b991bb6325033ffcdda25001aa4e662dbadf0b58630,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,
ACM,HeSF-RCS-auto structural50,schema_preserving_rcs,structural_storage_ratio,0.5,0.5,0.3,,,,,,,,,,,0.825,,,True,True,True,True,False,True,False,implemented_pending_official_training,ACM HeSF-RCS-auto 0.50 local selector/export path is implemented; official task training remains pending.,,gate21_16_ACM_HeSF-RCS-auto structural50,local:gate21_16_selector_modes,
ACM,HeSF-RCS-auto structural30,schema_preserving_rcs,structural_storage_ratio,0.3,0.3,0.3,,,,,,,,,,,0.895,,,True,True,True,True,False,True,False,implemented_pending_official_training,ACM HeSF-RCS-auto 0.30 local selector/export path is implemented; official task training remains pending.,,gate21_16_ACM_HeSF-RCS-auto structural30,local:gate21_16_selector_modes,
ACM,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,0.2,0.3,,,,,,,,,,,0.93,,,True,True,True,True,False,True,False,implemented_pending_official_training,ACM HeSF-RCS-auto 0.20 local selector/export path is implemented; official task training remains pending.,,gate21_16_ACM_HeSF-RCS-auto structural20,local:gate21_16_selector_modes,
ACM,HeSF-RCS-auto structural16,schema_preserving_rcs,structural_storage_ratio,0.16,0.16,0.3,,,,,,,,,,,0.944,,,True,True,True,True,False,True,False,implemented_pending_official_training,ACM HeSF-RCS-auto 0.16 local selector/export path is implemented; official task training remains pending.,,gate21_16_ACM_HeSF-RCS-auto structural16,local:gate21_16_selector_modes,
ACM,HeSF-RCS-auto structural12,schema_preserving_rcs,structural_storage_ratio,0.12,0.12,0.3,,,,,,,,,,,0.958,,,True,True,True,True,False,True,False,implemented_pending_official_training,ACM HeSF-RCS-auto 0.12 local selector/export path is implemented; official task training remains pending.,,gate21_16_ACM_HeSF-RCS-auto structural12,local:gate21_16_selector_modes,
IMDB,HeSF-RCS-auto structural50,schema_preserving_rcs,structural_storage_ratio,0.5,0.5,0.3,,,,,,,,,,,0.825,,,True,True,True,True,False,True,False,implemented_pending_official_training,IMDB HeSF-RCS-auto 0.50 local selector/export path is implemented; official task training remains pending.,,gate21_16_IMDB_HeSF-RCS-auto structural50,local:gate21_16_selector_modes,
IMDB,HeSF-RCS-auto structural30,schema_preserving_rcs,structural_storage_ratio,0.3,0.3,0.3,,,,,,,,,,,0.895,,,True,True,True,True,False,True,False,implemented_pending_official_training,IMDB HeSF-RCS-auto 0.30 local selector/export path is implemented; official task training remains pending.,,gate21_16_IMDB_HeSF-RCS-auto structural30,local:gate21_16_selector_modes,
IMDB,HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,0.2,0.3,,,,,,,,,,,0.93,,,True,True,True,True,False,True,False,implemented_pending_official_training,IMDB HeSF-RCS-auto 0.20 local selector/export path is implemented; official task training remains pending.,,gate21_16_IMDB_HeSF-RCS-auto structural20,local:gate21_16_selector_modes,
IMDB,HeSF-RCS-auto structural16,schema_preserving_rcs,structural_storage_ratio,0.16,0.16,0.3,,,,,,,,,,,0.944,,,True,True,True,True,False,True,False,implemented_pending_official_training,IMDB HeSF-RCS-auto 0.16 local selector/export path is implemented; official task training remains pending.,,gate21_16_IMDB_HeSF-RCS-auto structural16,local:gate21_16_selector_modes,
IMDB,HeSF-RCS-auto structural12,schema_preserving_rcs,structural_storage_ratio,0.12,0.12,0.3,,,,,,,,,,,0.958,,,True,True,True,True,False,True,False,implemented_pending_official_training,IMDB HeSF-RCS-auto 0.12 local selector/export path is implemented; official task training remains pending.,,gate21_16_IMDB_HeSF-RCS-auto structural12,local:gate21_16_selector_modes,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,0.5,all_target_preserved,0.5,0.5,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,7270cc8838f6c1f7ca1082717b907ebb31f43e7aed105f64453d75faf2073b9c,a0f188df0bfd0704a995a70728e76eafedc5d6f588f4065b3ff94fd97ad8280d,local:structural_baseline_impl,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,0.3,all_target_preserved,0.3,0.3,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,0d9edda79305e9f150a689ef3e367c46411f1c08afa58623b54ce6ae183c89d7,72bf5dc6c59a26f7f515ccc36a90cd725a44d0891a3b90c06979c6ba634638b8,local:structural_baseline_impl,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,0.2,all_target_preserved,0.2,0.2,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,6f6a81cb242d9219328b959e1009e7af685d3937f3409e67735e87685131dff1,3eadf9c3d84f790f001bb2bd0b4182ba40bbbfa853c9f86bda75c8105ce85d37,local:structural_baseline_impl,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.16,0.16,all_target_preserved,0.16,0.16,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,e8bd961c4b5bb5ca331283eefe1d8ab7a73d8eb0c69d13e66b885ea485b82340,746e44d7f3154728a8a258a835c9d5cb377f309067aa97abb580fb2e991d25a4,local:structural_baseline_impl,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.12,0.12,all_target_preserved,0.12,0.12,3,3,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-edge-relwise local relation-wise implementation generated a schema-preserving export plan; official SeHGNN training is pending.,3587fbb73d09438b305cb08e656863ea075da21347e699c4088f7804070055e7,b5fd22c0387e406cd61450d3ab7981c0b2e9d3de4313fb8592a48b8f3dfec68a,local:structural_baseline_impl,
