dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,total_node_ratio,total_edge_ratio,raw_hgb_text_byte_ratio,link_dat_bytes,node_dat_bytes,export_total_bytes,native_full_total_bytes,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,recovery_vs_native_full_micro,recovery_vs_native_full_macro,full_minus_micro,full_minus_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,failure_type,failure_reason,success,source_gate,source_path,selected_edge_hash,planner_config_hash,repo_url,traceback_path
DBLP,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,1.0,1.0,0.0,0.0,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,
DBLP,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,1.0,1.0,0.0,0.0,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,
ACM,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,1.0,1.0,0.0,0.0,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,
ACM,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,1.0,1.0,0.0,0.0,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,
IMDB,Full-native-SeHGNN,full_fidelity_baseline,,,,,,,,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,1.0,1.0,0.0,0.0,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,
IMDB,Export-full-SeHGNN,full_fidelity_baseline,,,,,,,,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,1.0,1.0,0.0,0.0,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,
DBLP,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.7765286382078632,0.3,0.8166434302029504,,,0.7765286382078632,,,,,1,5,0.9470422,0.0029595227588244733,0.9433028,0.003234023710488219,0.9465022,0.9436454,0.9933519323843204,0.9931380953941402,,,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\compressed\gate21_0_compressed_metrics.csv,,,,
DBLP,flatten-node30,internal_historical_baseline,support_node_ratio,0.3,0.8210460153409561,0.3,0.8660160456826094,,,0.8210460153409561,,,,,1,5,0.9290844,0.0066385077720824935,0.9240734,0.007119806362535467,0.9423868,0.9390898,0.9745103896369799,0.9728869956795336,,,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\compressed\gate21_0_compressed_metrics.csv,,,,
DBLP,TypedHash-node30,internal_historical_baseline,support_node_ratio,0.3,0.8866101605606449,0.3,0.9387308716595845,,,0.8866101605606449,,,,,1,5,0.864648,0.002908742958736654,0.859093,0.002895074783144696,0.8872428,0.8827484,0.9069307083059935,0.9044813474641668,,,True,True,True,True,True,True,,,True,gate21_0,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\compressed\gate21_0_compressed_metrics.csv,,,,
ACM,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.8274864266106432,0.3,0.8341546930669937,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,True,failed_runtime,"Traceback (most recent call last):
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 588, in <module>
    main(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\main.py"", line 22, in main
    g, adjs, init_labels, num_classes, dl, trainval_nid, test_nid = load_dataset(args)
  File ""D:\HeSF-Coarsen\external\SeHGNN\hgb\utils.py"", line 383, in load_dataset
    assert torch.all(row == PK.storage.row()) and torch.all(col == PK.storage.col())
RuntimeError: The size of tensor a (255619) must match the size of tensor b (213104) at non-singleton dimension 0",False,gate21_14_cross_h6_training,,,,,
ACM,flatten-node30,internal_historical_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,missing_task_metric,flatten-node30 has no official SeHGNN task metric for ACM.,False,,,,,,
ACM,TypedHash-node30,internal_historical_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,missing_task_metric,TypedHash-node30 has no official SeHGNN task metric for ACM.,False,,,,,,
IMDB,H6-node30,internal_historical_baseline,support_node_ratio,0.3,0.8926449630767522,0.3,0.9993074952101753,,,0.8926449630767522,,,,,1,5,0.6570166000000001,0.003959152919501895,0.634685,0.004949489549438394,0.6481066,0.6268784000000001,0.9413811622293182,0.9455935737445905,,,True,True,True,True,True,True,,,True,gate21_14_cross_h6_training,D:\HeSF-Coarsen\outputs\gate21_14_cross_h6_training\compressed\gate21_0_compressed_metrics.csv,,,,
IMDB,flatten-node30,internal_historical_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,missing_task_metric,flatten-node30 has no official SeHGNN task metric for IMDB.,False,,,,,,
IMDB,TypedHash-node30,internal_historical_baseline,support_node_ratio,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,missing_task_metric,TypedHash-node30 has no official SeHGNN task metric for IMDB.,False,,,,,,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.5,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.50 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.3,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.30 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
DBLP,Random-edge-relwise,relation_structural_baseline,structural_storage_ratio,0.2,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,True,not_executed,"Random-edge-relwise at structural budget 0.20 is planned for Gate21.15 quick, but no official SeHGNN task metric exists locally.",False,,,,,,
