dataset,base_method,method,feature_transform,label_graph_setting,official_sehgnn_unmodified,uses_ablation_adapter,training_executed,success,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,per_type_feature_shape_before_json,per_type_feature_shape_after_json,shape_safe_pass,failure_type,failure_reason,method_family,protocol_family,schema_compatible,target_preserving,official_hgb_exported,uses_adapter_loader,uses_synthetic_nodes,uses_weighted_superedges,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,eligible_for_decision,diagnostic_only,uses_test_metrics_for_selection,uses_test_labels_for_selection,selection_signal_source,support_node_ratio,support_edge_ratio,structural_storage_ratio,raw_hgb_text_byte_ratio,preprocessed_cache_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.9507040000000001,0.946857,0.934156,0.93161,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.95,0.945878,0.942387,0.939243,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.9492959999999999,0.9452079999999999,0.938272,0.935461,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.9482389999999999,0.94399,0.938272,0.9346859999999999,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.9503520000000001,0.946124,0.942387,0.939243,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.948592,0.944346,0.938272,0.935461,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.946127,0.941912,0.934156,0.930558,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.945775,0.941237,0.934156,0.93077,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.946127,0.9418529999999999,0.934156,0.9314960000000001,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.9492959999999999,0.945886,0.962963,0.960235,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.95,0.946746,0.962963,0.960235,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.948592,0.945251,0.962963,0.960235,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.948592,0.945164,0.958848,0.955212,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.948944,0.945681,0.962963,0.960235,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.948944,0.945684,0.962963,0.960235,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.9496479999999999,0.946245,0.958848,0.955401,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.9507040000000001,0.947391,0.958848,0.955401,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,paper-pca64,default,False,True,True,True,0.9510559999999999,0.947676,0.958848,0.955401,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.948592,0.945121,0.942387,0.938376,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.947887,0.944395,0.942387,0.938376,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,raw,default,False,True,True,True,0.947887,0.944371,0.942387,0.938376,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.947887,0.944195,0.942387,0.938376,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
DBLP,H6-APV-skeleton,H6-APV-skeleton,zero-paper,default,False,True,True,True,0.9482389999999999,0.944616,0.942387,0.938376,,,True,,,mechanism_audit,feature_adapter_deployment,True,True,False,False,False,False,False,False,False,False,False,True,False,False,not_applicable,,,,,,,,
