dataset,method,baseline_name,graph_seed,training_seed,budget_type,budget_value,requested_budget,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_tp_main_comparison,success,test_micro_f1,test_macro_f1,failure_type,failure_message,source_gate,protocol,budget_alignment_pass,budget_alignment_error,success_count,validation_micro_f1,validation_macro_f1,best_epoch,compress_wall_time_seconds,export_wall_time_seconds,preprocess_wall_time_seconds,train_wall_time_seconds,peak_cpu_rss_mb,peak_gpu_memory_mb,actual_support_node_ratio,actual_support_edge_ratio,actual_structural_storage_ratio,raw_hgb_text_byte_ratio,artifact_manifest_path,export_dir,stdout_path,stderr_path,compress_time_seconds,export_time_seconds,preprocess_time_seconds,train_time_seconds,eval_time_seconds,schema_compatible,keeps_all_target_nodes,uses_feature_adapter,uses_weighted_superedges,uses_synthetic_nodes,eligible_for_official_main_table,eligible_for_adapter_table,eligible_for_standard_condensation_table,eligible_for_tp_workload_table,test_micro_f1_mean,test_macro_f1_mean,structural_storage_ratio,support_node_ratio,support_edge_ratio,budget_match_pass,budget_match_status,uses_patched_loader,uses_patched_model,eligible_for_decision,uses_test_labels_for_selection,uses_test_metrics_for_selection,selection_signal_source,validation_probe_seed,selection_config_hash,selection_input_hash,official_text_hgb_byte_ratio,static_inference_package_ratio,transform_recipe_package_ratio,reconstructable_package_ratio,preprocessed_cache_byte_ratio,budget_match_error,budget_family,failure_reason,budget_matched_within_tolerance,budget_infeasible,selected_node_hash,selected_edge_hash,export_hash,sehgnn_preprocess_time_seconds,eligible_for_planner_decision,official_preprocess_time_seconds,training_time_seconds,graph_seed_ignored_by_design,deterministic_proof_pass,method_family,protocol_family,target_preserving,uses_adapter_loader,diagnostic_only
DBLP,Random-HG-TP,Random-HG-TP,1,1,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,1df89055e4e1ee0e6df87475592ca14deb34116e8a34a9453495b9b359b26033,a5fd1186f95d1bcf5bd68a94f00adcf33a449a001d196ba5e2eec9be697ab879,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,1,2,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,1df89055e4e1ee0e6df87475592ca14deb34116e8a34a9453495b9b359b26033,a5fd1186f95d1bcf5bd68a94f00adcf33a449a001d196ba5e2eec9be697ab879,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,1,3,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,1df89055e4e1ee0e6df87475592ca14deb34116e8a34a9453495b9b359b26033,a5fd1186f95d1bcf5bd68a94f00adcf33a449a001d196ba5e2eec9be697ab879,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,1,4,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,1df89055e4e1ee0e6df87475592ca14deb34116e8a34a9453495b9b359b26033,a5fd1186f95d1bcf5bd68a94f00adcf33a449a001d196ba5e2eec9be697ab879,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,1,5,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,1df89055e4e1ee0e6df87475592ca14deb34116e8a34a9453495b9b359b26033,a5fd1186f95d1bcf5bd68a94f00adcf33a449a001d196ba5e2eec9be697ab879,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,2,1,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,d01147bca199eca08f0d670ea03b3cf951b92d40e0e45e2bf06dbec45185ed27,f1f2bfa9c7f2e80f3bfafa3e542c7df8b215391d5ba60edc1e50e74140d7b161,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,2,2,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,d01147bca199eca08f0d670ea03b3cf951b92d40e0e45e2bf06dbec45185ed27,f1f2bfa9c7f2e80f3bfafa3e542c7df8b215391d5ba60edc1e50e74140d7b161,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,2,3,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,d01147bca199eca08f0d670ea03b3cf951b92d40e0e45e2bf06dbec45185ed27,f1f2bfa9c7f2e80f3bfafa3e542c7df8b215391d5ba60edc1e50e74140d7b161,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,2,4,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,d01147bca199eca08f0d670ea03b3cf951b92d40e0e45e2bf06dbec45185ed27,f1f2bfa9c7f2e80f3bfafa3e542c7df8b215391d5ba60edc1e50e74140d7b161,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
DBLP,Random-HG-TP,Random-HG-TP,2,5,support_node_ratio,0.3,0.3,True,True,False,False,False,NaN,NaN,not_executed_missing_gate21_9_5x5_task_metric,Gate21.8 source row had no successful task metric for this 5x5 cell.,gate21_8_manifest,schema_preserving_tp,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,True,,,,,,False,missing_budget_or_actual,False,False,False,False,False,not_applicable,,,,,,,,,,support_node_ratio,Gate21.8 source row had no successful task metric for this 5x5 cell.,False,False,d01147bca199eca08f0d670ea03b3cf951b92d40e0e45e2bf06dbec45185ed27,f1f2bfa9c7f2e80f3bfafa3e542c7df8b215391d5ba60edc1e50e74140d7b161,,,False,,,False,False,external_tp_baseline,schema_preserving_tp_workload,True,False,False
